"member_state","url","search","hits"
"Egypt","http://www.un.org/depts/dhl/unms/egypt.shtml","http://unbisnet.un.org:8080/ipac20/ipac.jsp?&menu=search&aspect=power&npp=50&ipp=20&spp=20&profile=bib&index=.AW&term=Egypt+OR+%22United+Arab+Republic%22&index=.TW&term=%22draft+resolution%22",3908
"El Salvador","http://www.un.org/depts/dhl/unms/elsalvador.shtml","http://unbisnet.un.org:8080/ipac20/ipac.jsp?&menu=search&aspect=power&npp=50&ipp=20&spp=20&profile=bib&index=.TW&term=%22draft+resolution%22&index=.AW&term=El+Salvador",1748
"Equatorial Guinea","http://www.un.org/depts/dhl/unms/equatorialguinea.shtml","http://unbisnet.un.org:8080/ipac20/ipac.jsp?&menu=search&aspect=power&npp=50&ipp=20&spp=20&profile=bib&index=.TW&term=%22draft+resolution%22&index=.AW&term=%22Equatorial+Guinea%22",567
"Eritrea","http://www.un.org/depts/dhl/unms/eritrea.shtml","http://unbisnet.un.org:8080/ipac20/ipac.jsp?&menu=search&aspect=power&npp=50&ipp=20&spp=20&profile=bib&index=.TW&term=%22draft+resolution%22&index=.AW&term=Eritrea",464
"Estonia","http://www.un.org/depts/dhl/unms/estonia.shtml","http://unbisnet.un.org:8080/ipac20/ipac.jsp?&menu=search&aspect=power&npp=50&ipp=20&spp=20&profile=bib&index=.TW&term=%22draft+resolution%22&index=.AW&term=Estonia",1540
"Ethiopia","http://www.un.org/depts/dhl/unms/ethiopia.shtml","http://unbisnet.un.org:8080/ipac20/ipac.jsp?&menu=search&aspect=power&npp=50&ipp=20&spp=20&profile=bib&index=.TW&term=%22draft+resolution%22&index=.AW&term=Ethiopia",2077
"Fiji","http://www.un.org/depts/dhl/unms/fiji.shtml","http://unbisnet.un.org:8080/ipac20/ipac.jsp?&menu=search&aspect=power&npp=50&ipp=20&spp=20&profile=bib&index=.TW&term=%22draft+resolution%22&index=.AW&term=Fiji",997
"Finland","http://www.un.org/depts/dhl/unms/finland.shtml","http://unbisnet.un.org:8080/ipac20/ipac.jsp?&menu=search&aspect=power&npp=50&ipp=20&spp=20&profile=bib&index=.TW&term=%22draft+resolution%22&index=.AW&term=Finland",3943
"France","http://www.un.org/depts/dhl/unms/france.shtml","http://unbisnet.un.org:8080/ipac20/ipac.jsp?&menu=search&aspect=power&npp=50&ipp=20&spp=20&profile=bib&index=.TW&term=%22draft+resolution%22&index=.AW&term=France",4611
"Gabon","http://www.un.org/depts/dhl/unms/gabon.shtml","http://unbisnet.un.org:8080/ipac20/ipac.jsp?&menu=search&aspect=power&npp=50&ipp=20&spp=20&profile=bib&index=.TW&term=%22draft+resolution%22&index=.AW&term=Gabon",1054
